	(1)	(2)	(3)	(4)
VARIABLES	Base	p_targetemp_c	p_targetemp_mm	p_targetfunc_hr
				
f_large	0.329***	0.330***	0.327***	0.292***
	(0.0330)	(0.0317)	(0.0329)	(0.0311)
f_medium	0.419***	0.409***	0.411***	0.330***
	(0.0358)	(0.0344)	(0.0358)	(0.0343)
f_mne	-0.0319	-0.0622*	-0.0310	-0.0186
	(0.0332)	(0.0321)	(0.0331)	(0.0312)
f_export	0.159***	0.138***	0.163***	0.143***
	(0.0305)	(0.0294)	(0.0304)	(0.0286)
f_public	0.0481*	0.0177	0.0494*	0.0429
	(0.0289)	(0.0280)	(0.0289)	(0.0271)
p_targetemp_c		0.315***		
		(0.0327)		
p_targetemp_mm			0.0859***	
			(0.0305)	
p_targetfunc_hr				0.323***
				(0.0260)
Constant	0.239***	0.211***	0.176***	0.107***
	(0.0277)	(0.0267)	(0.0355)	(0.0280)
				
Observations	1,125	1,125	1,125	1,125
R-squared	0.167	0.231	0.173	0.268
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
