cluster_ch,cluster_dh,cluster_elbow,cluster_gap,cluster_consensus,cluster_size_CH,cluster_size_Elbow,cluster_size_Gap
Cluster 2,Cluster 1,Cluster 2,Cluster 1,Cluster 2,659,271,108
Cluster 2,Cluster 2,Cluster 1,Cluster 1,Cluster 1,659,203,108
Cluster 2,Cluster 2,Cluster 2,Cluster 1,Cluster 2,659,271,108
Cluster 2,Cluster 2,Cluster 3,Cluster 1,Cluster 1,659,288,108
Cluster 2,Cluster 2,Cluster 2,Cluster 1,Cluster 1,659,271,108
Cluster 1,Cluster 1,Cluster 3,Cluster 1,Cluster 2,466,288,108
Cluster 1,Cluster 1,Cluster 2,Cluster 1,Cluster 2,466,271,108
Cluster 2,Cluster 1,Cluster 4,Cluster 1,Cluster 1,659,363,108
Cluster 1,Cluster 1,Cluster 4,Cluster 1,Cluster 2,466,363,108
Cluster 1,Cluster 2,Cluster 2,Cluster 1,Cluster 1,466,271,108
Cluster 2,Cluster 1,Cluster 2,Cluster 1,Cluster 1,659,271,108
Cluster 2,Cluster 1,Cluster 4,Cluster 1,Cluster 2,659,363,108
Cluster 2,Cluster 1,Cluster 3,Cluster 1,Cluster 2,659,288,108
Cluster 1,Cluster 1,Cluster 2,Cluster 1,Cluster 1,466,271,108
Cluster 1,Cluster 2,Cluster 4,Cluster 1,Cluster 1,466,363,108
Cluster 1,Cluster 1,Cluster 4,Cluster 2,Cluster 2,466,363,154
Cluster 2,Cluster 1,Cluster 1,Cluster 2,Cluster 2,659,203,154
Cluster 1,Cluster 1,Cluster 3,Cluster 2,Cluster 2,466,288,154
Cluster 2,Cluster 2,Cluster 2,Cluster 2,Cluster 1,659,271,154
Cluster 2,Cluster 1,Cluster 4,Cluster 2,Cluster 2,659,363,154
Cluster 1,Cluster 2,Cluster 1,Cluster 2,Cluster 1,466,203,154
Cluster 1,Cluster 1,Cluster 4,Cluster 2,Cluster 1,466,363,154
Cluster 1,Cluster 2,Cluster 4,Cluster 2,Cluster 1,466,363,154
Cluster 2,Cluster 2,Cluster 3,Cluster 2,Cluster 1,659,288,154
Cluster 2,Cluster 2,Cluster 4,Cluster 2,Cluster 1,659,363,154
Cluster 1,Cluster 1,Cluster 2,Cluster 2,Cluster 2,466,271,154
Cluster 2,Cluster 2,Cluster 1,Cluster 2,Cluster 1,659,203,154
Cluster 2,Cluster 2,Cluster 1,Cluster 3,Cluster 1,659,203,210
Cluster 2,Cluster 1,Cluster 3,Cluster 3,Cluster 1,659,288,210
Cluster 2,Cluster 2,Cluster 2,Cluster 3,Cluster 1,659,271,210
Cluster 2,Cluster 1,Cluster 1,Cluster 3,Cluster 2,659,203,210
Cluster 1,Cluster 1,Cluster 2,Cluster 3,Cluster 2,466,271,210
Cluster 1,Cluster 1,Cluster 1,Cluster 3,Cluster 2,466,203,210
Cluster 1,Cluster 2,Cluster 4,Cluster 3,Cluster 2,466,363,210
Cluster 1,Cluster 2,Cluster 2,Cluster 3,Cluster 1,466,271,210
Cluster 1,Cluster 1,Cluster 4,Cluster 3,Cluster 2,466,363,210
Cluster 1,Cluster 2,Cluster 2,Cluster 3,Cluster 2,466,271,210
Cluster 2,Cluster 2,Cluster 1,Cluster 3,Cluster 2,659,203,210
Cluster 2,Cluster 1,Cluster 2,Cluster 3,Cluster 2,659,271,210
Cluster 2,Cluster 2,Cluster 2,Cluster 3,Cluster 2,659,271,210
Cluster 2,Cluster 2,Cluster 3,Cluster 3,Cluster 1,659,288,210
Cluster 2,Cluster 2,Cluster 4,Cluster 3,Cluster 1,659,363,210
Cluster 1,Cluster 2,Cluster 4,Cluster 3,Cluster 1,466,363,210
Cluster 1,Cluster 1,Cluster 4,Cluster 4,Cluster 2,466,363,109
Cluster 1,Cluster 1,Cluster 2,Cluster 4,Cluster 2,466,271,109
Cluster 1,Cluster 2,Cluster 4,Cluster 4,Cluster 1,466,363,109
