="",="(1)",=""
="",="",=""
="",="mean",="sd"
="Cluster 1",="",=""
="p_participated",="2.32",="1.09"
="p_participated_2023",="2.89",="1.18"
="p_duration",="2.23",="0.70"
="p_hourstrained",="3.03",="1.16"
="p_cost",="2.25",="0.97"
="p_eligibility",="51.16",="21.41"
="p_part_exp",="53.21",="23.62"
="p_fund_org",="74.27",="32.07"
="p_fund_gov",="9.28",="14.98"
="p_ongoing",="0.74",="0.44"
="p_mandavolunt",="1.69",="0.46"
="p_otjactivities",="1.09",="0.29"
="p_targetemp_c",="0.07",="0.25"
="p_targetemp_emp",="0.79",="0.41"
="Cluster 2",="",=""
="p_participated",="3.58",="1.12"
="p_participated_2023",="4.12",="1.12"
="p_duration",="2.37",="0.68"
="p_hourstrained",="3.70",="1.09"
="p_cost",="2.69",="0.88"
="p_eligibility",="67.37",="18.82"
="p_part_exp",="74.18",="18.76"
="p_fund_org",="45.54",="30.02"
="p_fund_gov",="17.19",="13.93"
="p_ongoing",="0.34",="0.47"
="p_mandavolunt",="1.56",="0.50"
="p_otjactivities",="1.08",="0.27"
="p_targetemp_c",="0.31",="0.46"
="p_targetemp_emp",="0.56",="0.50"
="Total",="",=""
="p_participated",="3.07",="1.27"
="p_participated_2023",="3.62",="1.30"
="p_duration",="2.31",="0.69"
="p_hourstrained",="3.43",="1.17"
="p_cost",="2.51",="0.94"
="p_eligibility",="60.77",="21.44"
="p_part_exp",="65.64",="23.27"
="p_fund_org",="57.23",="33.94"
="p_fund_gov",="13.97",="14.88"
="p_ongoing",="0.50",="0.50"
="p_mandavolunt",="1.61",="0.49"
="p_otjactivities",="1.08",="0.28"
="p_targetemp_c",="0.21",="0.41"
="p_targetemp_emp",="0.65",="0.48"
="N",="1093",=""
