="",="(1)",=""
="",="",=""
="",="mean",="sd"
="Cluster 1",="",=""
="f_large",="0.33",="0.47"
="f_medium",="0.16",="0.37"
="f_public",="0.39",="0.49"
="f_subsidy",="1.71",="0.57"
="f_union50",="0.14",="0.35"
="f_mne",="0.28",="0.45"
="f_export",="0.39",="0.49"
="Cluster 2",="",=""
="f_large",="0.49",="0.50"
="f_medium",="0.35",="0.48"
="f_public",="0.53",="0.50"
="f_subsidy",="1.31",="0.49"
="f_union50",="0.28",="0.45"
="f_mne",="0.36",="0.48"
="f_export",="0.60",="0.49"
="Total",="",=""
="f_large",="0.42",="0.49"
="f_medium",="0.27",="0.44"
="f_public",="0.47",="0.50"
="f_subsidy",="1.48",="0.56"
="f_union50",="0.22",="0.42"
="f_mne",="0.33",="0.47"
="f_export",="0.52",="0.50"
="N",="1125",=""
