category,variable,variable_label,test,test_statistic,p_value,significance,mean_cluster0,std_cluster0,z_score_cluster0,mean_cluster1,std_cluster1,z_score_cluster1
targeting,p_target_top,p_target_top,t-test,-21.96897429633829,7.965857095333787e-87,***,0.2467811107635498,0.4316015839576721,-0.65798020362854,0.8027313947677612,0.3982390761375427,0.46527883410453796
other,p_participated_coarse,p_participated_coarse,t-test,-19.290994872672858,2.6125212084167663e-70,***,1.5128755569458008,0.7279707193374634,-0.5982843637466431,2.3399088382720947,0.6795541644096375,0.42306599020957947
other,p_size_coarse1,p_participated_coarse==     1.0000,t-test,19.75735057773192,2.6803151584295357e-70,***,0.6266094420600858,0.48422433910050666,0.6334230983103972,0.11836115326251896,0.3232806520786458,-0.4479137538886876
other,p_part,p_part,t-test,-17.915360256007073,1.9931226322627778e-61,***,41.94420623779297,23.67706298828125,-0.5744062662124634,65.89225769042969,19.615116119384766,0.40618106722831726
targeting,p_target_topmiddle,p_target_topmiddle,t-test,-16.124439636456362,9.618499272285134e-53,***,0.16952790319919586,0.3756207525730133,-0.4965324103832245,0.5872533917427063,0.4927019476890564,0.3511139750480652
program_structure,p_part_exp,p_part_exp,t-test,-15.842110599500574,1.003990406949252e-49,***,53.182403564453125,23.671836853027344,-0.5245352983474731,74.05158996582031,18.7391414642334,0.3709155023097992
funding,p_fund_org,Employer,t-test,15.298307799100684,1.5967335399321593e-47,***,75.42489624023438,31.793685913085938,0.4963667690753937,46.446128845214844,30.57962989807129,-0.35099688172340393
other,p_ongoing,p_ongoing,t-test,14.8042757345334,3.653907720200614e-45,***,0.7424892783164978,0.4377329349517822,0.47501227259635925,0.3368740379810333,0.4730004370212555,-0.33589640259742737
funding,p_fund_union,Union,t-test,-14.246040734065488,2.7907095449502802e-42,***,5.311158657073975,10.673238754272461,-0.45732125639915466,14.995448112487793,11.976356506347656,0.3233864903450012
program_structure,p_eligibility,p_eligibility,t-test,-12.997029347169,1.4724958005726037e-35,***,51.3626594543457,21.476253509521484,-0.4386541545391083,67.39302062988281,18.714834213256836,0.3101864755153656
other,p_size_coarse3,p_participated_coarse==     3.0000,t-test,-12.646425911824641,2.283086270905131e-34,***,0.13948497854077252,0.346824229272451,-0.39812800351587235,0.4582701062215478,0.4986340428557496,0.28152905863186106
program_structure,p_hours_long,p_hours_long,t-test,-10.691190486387491,2.1267250099871937e-25,***,0.28111588954925537,0.4500270485877991,-0.3561627268791199,0.5842185020446777,0.49323058128356934,0.2518540918827057
funding,p_fund_wrk,Employee,t-test,-10.67468375356867,2.718051666430798e-25,***,6.8755364418029785,14.155722618103027,-0.35887444019317627,16.153263092041016,14.643354415893555,0.25377157330513
targeting,p_target_topbottom,p_target_topbottom,t-test,-10.63358753821721,3.1464537131664825e-25,***,0.1351931393146515,0.342297226190567,-0.3405991494655609,0.399089515209198,0.4900831878185272,0.24084852635860443
targeting,p_target_all,p_target_all,t-test,-10.489492222946684,1.2803041787891323e-24,***,0.1180257499217987,0.32298535108566284,-0.3343237340450287,0.3702579736709595,0.4832404851913452,0.23641107976436615
other,p_effect_reverse,p_effect_reverse,t-test,-10.372738662803435,5.48838185221336e-24,***,2.349785327911377,0.49942973256111145,-0.3535585105419159,2.658573627471924,0.4809107780456543,0.25001275539398193
funding,p_fund_gov,Government,t-test,-9.193502157598376,2.2698187673166487e-19,***,8.858368873596191,14.762977600097656,-0.31717708706855774,16.898330688476562,13.992517471313477,0.22428607940673828
targeting,p_target_emp,p_target_emp,t-test,8.454157625714098,8.853652689667017e-17,***,0.7875536680221558,0.4094785749912262,0.281904399394989,0.5584218502044678,0.4969523549079895,-0.1993435025215149
targeting,p_criteria_managerrec,Criteria - Manager's recommendation',t-test,7.947809769060289,7.846934551057046e-15,***,0.2403433471918106,0.4277511537075043,0.2974468171596527,0.06525038182735443,0.24715472757816315,-0.2103341519832611
other,p_size_coarse2,p_participated_coarse==     2.0000,t-test,-6.888988389475544,9.515391426671738e-12,***,0.23390557939914164,0.4237677692420381,-0.23338206666162487,0.4233687405159332,0.4944680624020578,0.16503193181231732
