variable,importance,variable_label,category
p_challenge_newjob,0.052578921364563,Challenge - Ensuring that participants could find a new job,other
p_roi_Negative ROI,0.04610759850613437,p_roi_Negative ROI,other
p_eligibility,0.02918962996598237,p_eligibility,program_structure
p_part_exp,0.028512547376547584,p_part_exp,program_structure
p_part,0.026954201256215705,p_part,other
p_fund_org,0.022602210413931637,Employer,funding
p_fund_gov,0.01714700446797937,Government,funding
p_fund_wrk,0.01631391669563845,Employee,funding
p_roi_Not yet_ but intends to,0.016030658633154424,p_roi_Not yet_ but intends to,other
p_year_start_clone2,0.014255044781927007,p_year_start_clone2,other
p_roi_Positive ROI,0.01379867450791779,p_roi_Positive ROI,other
p_fund_union,0.013112092606805544,Union,funding
p_roi_Tried to_ but unable,0.01151841738074198,p_roi_Tried to_ but unable,other
p_year_end_clone2,0.010664981737304178,p_year_end_clone2,other
p_fund_other,0.010071861732686458,Other,funding
p_targetfunc_it_Not Selected,0.00931149300929201,p_targetfunc_it_Not Selected,targeting
p_targetfunc_accfin_Not Selected,0.008957831673251548,p_targetfunc_accfin_Not Selected,targeting
p_targetfunc_it_Selected,0.008596491465859453,p_targetfunc_it_Selected,targeting
p_hours_long,0.008529189014248102,p_hours_long,program_structure
p_effect_reverse,0.008256492618670577,p_effect_reverse,other
p_target_topmiddle,0.00798835455797139,p_target_topmiddle,targeting
p_targetfunc_accfin_Selected,0.007772200368615376,p_targetfunc_accfin_Selected,targeting
p_effectiveness_Moderately Effective,0.007495981827556279,p_effectiveness_Moderately Effective,other
p_cont_investment_Very likely,0.0070368453469919654,p_cont_investment_Very likely,other
p_cha_takeup,0.006825449129547389,p_cha_takeup,other
p_hourstrained_50 - 99 hours,0.006494376427862448,p_hourstrained_50 - 99 hours,program_structure
p_year_end_2021,0.006494006736175945,p_year_end_2021,other
p_targetfunc_adm_Selected,0.0064153017457134285,p_targetfunc_adm_Selected,targeting
p_advocacy_hier_HR,0.006408217263527464,p_advocacy_hier_HR,program_design
