category,variable,variable_label,test,test_statistic,p_value,significance,mean_cluster0,std_cluster0,z_score_cluster0,mean_cluster1,std_cluster1,z_score_cluster1,mean_cluster2,std_cluster2,z_score_cluster2
targeting,p_target_middleemp,p_target_middleemp,ANOVA,179.9848175048828,0.0,***,0.23152709007263184,0.4228511452674866,-0.582619309425354,0.23616236448287964,0.42550888657569885,-0.5733433365821838,0.7327188849449158,0.4428805708885193,0.42034977674484253
targeting,p_target_emp,p_target_emp,ANOVA,362.8668518066406,0.0,***,0.3054187297821045,0.4617232084274292,-0.7307285666465759,0.3025830388069153,0.4602261483669281,-0.7366843819618225,0.9078341126441956,0.2894824147224426,0.5345306396484375
other,p_participated_coarse,p_participated_coarse,ANOVA,120.1122055053711,0.0,***,2.7142856121063232,0.6029160618782043,0.8854051232337952,1.9225091934204102,0.6066687703132629,-0.09240452200174332,1.8049155473709106,0.8173355460166931,-0.23762759566307068
targeting,p_targetemp_emp_Selected,p_targetemp_emp_Selected,ANOVA,362.866959731458,2.892489115034493e-122,***,0.3054187192118227,0.46172320052741783,-0.7307286166204382,0.3025830258302583,0.4602261597097462,-0.7366844523852059,0.9078341013824884,0.2894824189771204,0.5345305618592008
targeting,p_targetemp_emp_Not Selected,p_targetemp_emp_Not Selected,ANOVA,362.866959731458,2.892489115034493e-122,***,0.6945812807881774,0.4617232005274179,0.7307286166204383,0.6974169741697417,0.4602261597097462,0.7366844523852059,0.09216589861751152,0.2894824189771204,-0.5345305618592009
other,p_size_coarse3,p_participated_coarse==     3.0000,ANOVA,164.99882890411325,1.5244527277583388e-63,***,0.7931034482758621,0.406082131060046,0.9954012747712164,0.14760147601476015,0.3553607502420999,-0.38082344834972304,0.25499231950844853,0.4361920447932531,-0.1518637546478987
targeting,p_targetfunc_cust_Not Selected,p_targetfunc_cust_Not Selected,ANOVA,116.69815178389352,9.053159496934806e-47,***,0.8620689655172413,0.3456800660892942,0.48005459800872274,0.8671586715867159,0.3400311106524844,0.49059318382812794,0.4592933947772657,0.4987234087171543,-0.35391987129522806
targeting,p_targetfunc_cust_Selected,p_targetfunc_cust_Selected,ANOVA,116.69815178389352,9.053159496934806e-47,***,0.13793103448275862,0.3456800660892942,-0.48005459800872285,0.13284132841328414,0.3400311106524844,-0.4905931838281279,0.5407066052227343,0.4987234087171543,0.35391987129522806
targeting,p_target_all,p_target_all,ANOVA,100.74708557128906,5.753451234824834e-41,***,0.1428571492433548,0.35079219937324524,-0.27813684940338135,0.014760147780179977,0.12081450968980789,-0.5679865479469299,0.40860214829444885,0.49195343255996704,0.3231738209724426
other,p_year_end_Ongoing,p_year_end_Ongoing,ANOVA,94.1140751754517,1.6382011272003153e-38,***,0.33004926108374383,0.4713930246619549,-0.349540517355391,0.25092250922509224,0.43434612146558765,-0.5077312326327591,0.6651305683563749,0.4723076961565981,0.3203562044034132
