category,variable,variable_label,upskilling_mean,upskilling_std,reskilling_mean,reskilling_std,cohens_d,t_statistic,p_value,significance
other,p_challenge_newjob,Challenge - Ensuring that participants could find a new job,0.0,0.0,0.3401360511779785,0.47537437081336975,0.9712177515029907,-8.675121811643804,7.376393365288473e-15,***
other,p_year_start_clone2,p_year_start_clone2,2020.459716796875,1.1290631294250488,2021.061279296875,1.1055556535720825,0.5388578176498413,-4.411444012272133,1.5062535598132764e-05,***
targeting,p_target_middle,p_target_middle,0.49193549156188965,0.5019630789756775,0.7210884094238281,0.4499971568584442,0.4829708933830261,-3.924446541427305,0.00011245776225237076,***
other,p_year_end_clone2,p_year_end_clone2,2022.0968017578125,0.9578036665916443,2022.50341796875,0.7618843913078308,0.4744403660297394,-3.8171849268856763,0.00017297996815128427,***
program_structure,p_hours_long,p_hours_long,0.22580644488334656,0.4198085069656372,0.4217686951160431,0.49553030729293823,0.423750102519989,-3.5243107465596983,0.000498820246115879,***
other,p_challenge_progcompl,Challenge - Ensuring program completion,0.5322580933570862,0.5009825229644775,0.35374149680137634,0.47976478934288025,-0.36463162302970886,2.979470897489418,0.0031636514167223554,**
other,p_adv_top,p_adv_top,0.30645161867141724,0.46288982033729553,0.15646257996559143,0.3645353615283966,-0.36367267370224,2.9236205694508683,0.003802568969166636,**
other,p_long,p_long,0.14516128599643707,0.3536924421787262,0.2857142984867096,0.453298419713974,0.3421764373779297,-2.865043686615909,0.004500509097973523,**
targeting,p_target_top,p_target_top,0.6612903475761414,0.4751909673213959,0.5102040767669678,0.5016049146652222,-0.3085257112979889,2.5420001455768704,0.011591170884728861,*
other,p_adv_hr,p_adv_hr,0.5645161271095276,0.49783164262771606,0.6938775777816772,0.4624568819999695,0.27009034156799316,-2.2012622765616463,0.028617612614793255,*
