category,variable,variable_label,upskilling_mean,upskilling_std,reskilling_mean,reskilling_std,cohens_d,t_statistic,p_value,significance
other,p_challenge_newjob,Challenge - Ensuring that participants could find a new job,0.0,0.0,0.29219144582748413,0.45534366369247437,0.8214913010597229,-12.785668119933046,1.41485237331813e-31,***
program_structure,p_hours_long,p_hours_long,0.30708661675453186,0.46219635009765625,0.49370276927948,0.5005912184715271,0.38399603962898254,-4.8635930265739535,1.493203863118748e-06,***
funding,p_fund_org,Employer,76.04330444335938,31.36968994140625,64.64483642578125,31.29127311706543,-0.3639140725135803,4.526696318061137,7.3805870548257775e-06,***
targeting,p_target_all,p_target_all,0.30708661675453186,0.46219635009765625,0.4735516309738159,0.4999300241470337,0.3428245186805725,-4.340871190405186,1.6795664402507147e-05,***
targeting,p_target_topbottom,p_target_topbottom,0.32677164673805237,0.469959020614624,0.491183876991272,0.5005530714988708,0.33632153272628784,-4.2441857121421815,2.5650611467104818e-05,***
funding,p_fund_wrk,Employee,5.562992095947266,12.094243049621582,10.01511287689209,14.602123260498047,0.3254648745059967,-4.220157814313922,2.814409338934144e-05,***
targeting,p_target_top,p_target_top,0.3897637724876404,0.48865947127342224,0.5541561841964722,0.49768567085266113,0.3326525092124939,-4.156817488038572,3.7457477742490015e-05,***
funding,p_fund_union,Union,5.940944671630859,11.680548667907715,9.831233978271484,12.178770065307617,0.3245420455932617,-4.07644090152659,5.240597503872903e-05,***
other,p_effect_reverse,p_effect_reverse,2.381889820098877,0.5027855038642883,2.5440804958343506,0.5087084770202637,0.32027682662010193,-3.996373452095767,7.318885174628997e-05,***
targeting,p_target_topmiddle,p_target_topmiddle,0.35826772451400757,0.4804380238056183,0.513853907585144,0.5004386901855469,0.31575819849967957,-3.9652549813051725,8.290732812449736e-05,***
