category,variable,variable_label,upskilling_mean,upskilling_std,reskilling_mean,reskilling_std,cohens_d,t_statistic,p_value,significance
other,p_challenge_newjob,Challenge - Ensuring that participants could find a new job,0.0,0.0,0.30434781312942505,0.46047598123550415,0.8582542538642883,-17.0697092338676,1.834298944693331e-54,***
program_structure,p_hours_long,p_hours_long,0.360262006521225,0.48060131072998047,0.526236891746521,0.4996858835220337,0.3373412489891052,-5.599278034481798,2.7757186724626676e-08,***
targeting,p_target_topmiddle,p_target_topmiddle,0.32969433069229126,0.4706161320209503,0.4722638726234436,0.4996047616004944,0.29214122891426086,-4.8678110409754884,1.3070216715008045e-06,***
other,p_effect_reverse,p_effect_reverse,2.4475982189178467,0.5065054893493652,2.5877060890197754,0.5076282620429993,0.276253342628479,-4.55413356606122,5.919347461374837e-06,***
other,p_adv_hr,p_adv_hr,0.4432314336299896,0.4973101019859314,0.5652173757553101,0.4961004853248596,0.245645672082901,-4.046056008418238,5.618239304054543e-05,***
funding,p_fund_union,Union,9.22707462310791,12.366608619689941,12.190404891967773,12.294974327087402,0.24044853448867798,-3.957969550351886,8.105500543469755e-05,***
targeting,p_criteria_assmsmotivation,Criteria - Pre-assessment of motivation,0.14192140102386475,0.34935110807418823,0.23088455200195312,0.4217149615287781,0.22586680948734283,-3.853030297686596,0.0001235095752876841,***
other,p_year_end_clone2,p_year_end_clone2,2022.53271484375,0.7938615083694458,2022.7001953125,0.6507445573806763,0.23507250845432281,-3.734811157025926,0.00020036055437946536,***
targeting,p_target_all,p_target_all,0.20960699021816254,0.40747320652008057,0.30434781312942505,0.46047598123550415,0.21547752618789673,-3.632026580337292,0.00029474080536887954,***
other,p_long,p_long,0.26855894923210144,0.4436945617198944,0.3658170998096466,0.4820200204849243,0.20834924280643463,-3.4864775229923866,0.0005100151499819298,***
other,p_cha_takeup,p_cha_takeup,0.4737991392612457,0.4998590350151062,0.5787106156349182,0.49413633346557617,0.21131350100040436,-3.4746959951672793,0.0005339460512684002,***
targeting,p_criteria_assmskills,Criteria - Pre-assessment of knowledge/skills,0.7838428020477295,0.4120728373527527,0.8635681867599487,0.34350407123565674,0.21377979218959808,-3.4067712786254507,0.0006877678038139219,***
targeting,p_target_topbottom,p_target_topbottom,0.235807865858078,0.42496684193611145,0.32683658599853516,0.46940895915031433,0.20145729184150696,-3.3814956632674833,0.0007477007026961359,***
other,p_cri_individual,p_cri_individual,0.8493449687957764,0.3581034541130066,0.9130434989929199,0.28198277950286865,0.20209820568561554,-3.1880855947932987,0.0014860957101171686,**
other,p_challenge_convincingemployees,Challenge - Convincing eligible employees to apply,0.23144105076789856,0.4222147762775421,0.3133433163166046,0.4642007648944855,0.18298491835594177,-3.068797372557246,0.0022049389552507123,**
other,p_challenge_selecting,Challenge - Selecting the right participants,0.30786025524139404,0.4621131718158722,0.3943028450012207,0.4890671968460083,0.1807357221841812,-3.0097928148590043,0.0026787095907538886,**
other,p_year_start_clone2,p_year_start_clone2,2020.73583984375,1.1619728803634644,2020.9505615234375,1.1951900720596313,0.18169265985488892,-3.009763019209211,0.0026800934175230844,**
targeting,p_target_middle,p_target_middle,0.6877729296684265,0.4639086425304413,0.7661169171333313,0.42361634969711304,0.17786931991577148,-2.882056513512067,0.004042546085383691,**
funding,p_fund_wrk,Employee,10.783843040466309,14.973616600036621,13.358321189880371,15.181848526000977,0.1705239713191986,-2.817215343305159,0.0049404576671706266,**
other,p_cha_during,p_cha_during,0.7947598099708557,0.4043186604976654,0.8590704798698425,0.3482099771499634,0.1728476583957672,-2.7707929454395486,0.005709368656442841,**
