
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="cluster_2",="cluster_2",="cluster_2",="cluster_2",="cluster_2",="cluster_2",="cluster_2",="cluster_2",="cluster_2",="cluster_2"

="f_medium",="",="-0.387***",="-0.378***",="-0.379***",="-0.373***",="-0.363***",="-0.349***",="-0.350***",="-0.347***",="-0.347***"
="",="",="(0.036)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.038)",="(0.037)",="(0.037)",="(0.037)"

="f_large",="",="-0.238***",="-0.238***",="-0.235***",="-0.217***",="-0.204***",="-0.198***",="-0.208***",="-0.204***",="-0.204***"
="",="",="(0.034)",="(0.034)",="(0.035)",="(0.035)",="(0.035)",="(0.036)",="(0.035)",="(0.035)",="(0.035)"

="f_mne",="",="",="",="-0.016",="0.006",="0.004",="0.002",="0.004",="0.001",="0.001"
="",="",="",="",="(0.032)",="(0.033)",="(0.033)",="(0.032)",="(0.032)",="(0.033)",="(0.033)"

="f_public",="",="",="",="",="-0.084***",="-0.080***",="-0.086***",="-0.069**",="-0.067**",="-0.067**"
="",="",="",="",="",="(0.030)",="(0.030)",="(0.030)",="(0.030)",="(0.030)",="(0.030)"

="f_union50",="",="",="",="",="",="-0.125***",="-0.121***",="-0.126***",="-0.129***",="-0.129***"
="",="",="",="",="",="",="(0.033)",="(0.033)",="(0.033)",="(0.033)",="(0.033)"

="1.clusplot2",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)"

="2.clusplot2",="",="",="",="",="",="",="-0.117**",="-0.108**",="-0.109**",="-0.109**"
="",="",="",="",="",="",="",="(0.048)",="(0.048)",="(0.048)",="(0.048)"

="3.clusplot2",="",="",="",="",="",="",="0.027",="0.017",="0.020",="0.020"
="",="",="",="",="",="",="",="(0.042)",="(0.042)",="(0.042)",="(0.042)"

="4.clusplot2",="",="",="",="",="",="",="-0.002",="-0.004",="0.003",="0.003"
="",="",="",="",="",="",="",="(0.046)",="(0.046)",="(0.046)",="(0.046)"

="5.clusplot2",="",="",="",="",="",="",="0.002",="-0.002",="0.014",="0.014"
="",="",="",="",="",="",="",="(0.042)",="(0.042)",="(0.044)",="(0.044)"

="hr_indexD_total",="",="",="",="",="",="",="",="-0.042***",="-0.041***",="-0.041***"
="",="",="",="",="",="",="",="",="(0.012)",="(0.012)",="(0.012)"

="sk_gap_sev",="",="",="",="",="",="",="",="",="0.044",="0.044"
="",="",="",="",="",="",="",="",="",="(0.035)",="(0.035)"

="N",="1125",="1125",="1125",="1125",="1125",="1125",="1125",="1125",="1125",="1125"
="R-squared",="0.000",="0.089",="0.123",="0.123",="0.129",="0.140",="0.147",="0.157",="0.158",="0.158"
="Adjusted R-squared",="0.000",="0.088",="0.114",="0.113",="0.119",="0.129",="0.133",="0.143",="0.143",="0.143"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
