="",="(1)",=""
="",="",=""
="",="mean",="sd"
="Cluster 1",="",=""
="p_participated",="3.42",="1.19"
="p_participated_2023",="4.02",="1.18"
="p_duration",="2.39",="0.67"
="p_hourstrained",="3.75",="1.11"
="p_cost",="2.62",="0.89"
="p_eligibility",="66.14",="19.44"
="p_part_exp",="72.93",="19.77"
="p_fund_org",="48.84",="30.71"
="p_fund_gov",="16.47",="14.02"
="p_ongoing",="0.37",="0.48"
="p_mandavolunt",="1.62",="0.49"
="p_otjactivities",="1.07",="0.25"
="p_targetemp_c",="0.30",="0.46"
="p_targetemp_emp",="0.63",="0.48"
="Cluster 2",="",=""
="p_participated",="2.66",="1.23"
="p_participated_2023",="3.14",="1.26"
="p_duration",="2.22",="0.71"
="p_hourstrained",="3.05",="1.12"
="p_cost",="2.38",="0.99"
="p_eligibility",="54.49",="21.97"
="p_part_exp",="57.12",="24.16"
="p_fund_org",="67.05",="34.91"
="p_fund_gov",="11.04",="15.33"
="p_ongoing",="0.66",="0.47"
="p_mandavolunt",="1.61",="0.49"
="p_otjactivities",="1.10",="0.30"
="p_targetemp_c",="0.11",="0.32"
="p_targetemp_emp",="0.67",="0.47"
="Total",="",=""
="p_participated",="3.07",="1.27"
="p_participated_2023",="3.62",="1.30"
="p_duration",="2.31",="0.69"
="p_hourstrained",="3.43",="1.17"
="p_cost",="2.51",="0.94"
="p_eligibility",="60.77",="21.44"
="p_part_exp",="65.64",="23.27"
="p_fund_org",="57.23",="33.94"
="p_fund_gov",="13.97",="14.88"
="p_ongoing",="0.50",="0.50"
="p_mandavolunt",="1.61",="0.49"
="p_otjactivities",="1.08",="0.28"
="p_targetemp_c",="0.21",="0.41"
="p_targetemp_emp",="0.65",="0.48"
="N",="1093",=""
