
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="complex_reskilling",="complex_reskilling",="complex_reskilling",="complex_reskilling",="complex_reskilling",="complex_reskilling",="complex_reskilling",="complex_reskilling",="complex_reskilling",="complex_reskilling"

="f_medium",="",="-0.185***",="-0.177***",="-0.178***",="-0.176***",="-0.173***",="-0.182***",="-0.182***",="-0.177***",="-0.177***"
="",="",="(0.033)",="(0.033)",="(0.034)",="(0.034)",="(0.034)",="(0.034)",="(0.034)",="(0.034)",="(0.034)"

="f_large",="",="-0.111***",="-0.107***",="-0.100***",="-0.092***",="-0.089***",="-0.090***",="-0.095***",="-0.089***",="-0.089***"
="",="",="(0.032)",="(0.032)",="(0.033)",="(0.033)",="(0.034)",="(0.034)",="(0.034)",="(0.034)",="(0.034)"

="f_mne",="",="",="",="-0.036",="-0.027",="-0.027",="-0.024",="-0.023",="-0.028",="-0.028"
="",="",="",="",="(0.028)",="(0.028)",="(0.028)",="(0.028)",="(0.028)",="(0.028)",="(0.028)"

="f_public",="",="",="",="",="-0.033",="-0.033",="-0.031",="-0.023",="-0.019",="-0.019"
="",="",="",="",="",="(0.026)",="(0.026)",="(0.026)",="(0.027)",="(0.027)",="(0.027)"

="f_union50",="",="",="",="",="",="-0.028",="-0.034",="-0.036",="-0.041",="-0.041"
="",="",="",="",="",="",="(0.029)",="(0.029)",="(0.029)",="(0.029)",="(0.029)"

="1.clusplot2",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)"

="2.clusplot2",="",="",="",="",="",="",="0.027",="0.031",="0.029",="0.029"
="",="",="",="",="",="",="",="(0.045)",="(0.045)",="(0.044)",="(0.044)"

="3.clusplot2",="",="",="",="",="",="",="-0.013",="-0.018",="-0.012",="-0.012"
="",="",="",="",="",="",="",="(0.037)",="(0.037)",="(0.037)",="(0.037)"

="4.clusplot2",="",="",="",="",="",="",="-0.049",="-0.050",="-0.039",="-0.039"
="",="",="",="",="",="",="",="(0.040)",="(0.040)",="(0.040)",="(0.040)"

="5.clusplot2",="",="",="",="",="",="",="-0.019",="-0.021",="0.007",="0.007"
="",="",="",="",="",="",="",="(0.038)",="(0.038)",="(0.039)",="(0.039)"

="hr_indexD_total",="",="",="",="",="",="",="",="-0.020*",="-0.019*",="-0.019*"
="",="",="",="",="",="",="",="",="(0.011)",="(0.011)",="(0.011)"

="sk_gap_sev",="",="",="",="",="",="",="",="",="0.077**",="0.077**"
="",="",="",="",="",="",="",="",="",="(0.032)",="(0.032)"

="N",="1125",="1125",="1125",="1125",="1125",="1125",="1125",="1125",="1125",="1125"
="R-squared",="0.000",="0.028",="0.046",="0.048",="0.049",="0.050",="0.052",="0.056",="0.061",="0.061"
="Adjusted R-squared",="0.000",="0.026",="0.037",="0.037",="0.038",="0.038",="0.037",="0.039",="0.044",="0.044"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
