="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="count",="mean",="sd",="min",="max"
="hr_cat_workforce",="1209",="1.760132",=".518242",="1",="3"
="hr_cat_skdescription",="1209",="1.121588",=".3269447",="1",="2"
="hr_cat_skinventory",="1209",="1.162945",=".3694679",="1",="2"
="hr_cat_skinventory_use",="1012",="4.342885",=".7482381",="1",="5"
="hr_cat_academy",="1209",="1.612076",=".7181791",="1",="3"
="hr_cat_internalmkt",="1209",="2.889165",="1.009536",="1",="4"
="hr_sk_description",="1209",=".8784119",=".3269447",="0",="1"
="hr_sk_inventory_use",="1209",=".3912324",=".4882282",="0",="1"
="hr_academy",="1209",=".5268817",=".4994835",="0",="1"
="hr_internalmkt",="1209",=".2133995",=".4098769",="0",="1"
="hr_d_workforce",="1209",=".6741108",=".4689001",="0",="1"
="hr_workforce",="1209",="1.760132",=".518242",="1",="3"
="hr_d_sk_description",="1209",=".8784119",=".3269447",="0",="1"
="hr_d_sk_inventory",="1209",=".8370554",=".3694679",="0",="1"
="hr_d_sk_inventory_use",="1209",=".3912324",=".4882282",="0",="1"
="hr_d_academy",="1209",=".5268817",=".4994835",="0",="1"
="hr_d_internalmkt",="1209",=".2133995",=".4098769",="0",="1"
="hr_coarse_cat_skinventory_use",="1012",="2.87747",=".4298532",="1",="3"
="N",="1209",="",="",="",=""
