="",="(1)",="",=""
="",="",="",=""
="",="count",="mean",="sd"
="p_participated",="1127",="3.07",="1.27"
="p_participated_2023",="1127",="3.61",="1.31"
="p_duration",="1127",="2.31",="0.70"
="p_hourstrained",="1127",="3.41",="1.16"
="p_cost",="1127",="2.50",="0.94"
="p_eligibility",="1209",="60.99",="21.68"
="p_part_exp",="1209",="65.62",="23.34"
="p_fund_org",="1095",="57.24",="33.95"
="p_fund_gov",="1095",="13.94",="14.88"
="p_ongoing",="1209",="0.47",="0.50"
="p_mandavolunt",="1127",="1.61",="0.49"
="p_otjactivities",="1127",="1.09",="0.28"
="p_targetemp_c",="1127",="0.21",="0.41"
="p_targetemp_emp",="1127",="0.65",="0.48"
="N",="1209",="",=""
