="",="(1)",=""
="",="",=""
="",="mean",="sd"
="General Training",="",=""
="p_participated",=".",="."
="p_participated_2023",=".",="."
="p_duration",=".",="."
="p_hourstrained",=".",="."
="p_cost",=".",="."
="p_eligibility",="66.58",="21.62"
="p_part_exp",="71.25",="21.18"
="p_fund_org",=".",="."
="p_fund_gov",=".",="."
="p_ongoing",="0.00",="0.00"
="p_mandavolunt",=".",="."
="p_otjactivities",=".",="."
="p_targetemp_c",=".",="."
="p_targetemp_emp",=".",="."
="Upskilling",="",=""
="p_participated",="3.06",="1.29"
="p_participated_2023",="3.55",="1.26"
="p_duration",="2.23",="0.67"
="p_hourstrained",="3.16",="1.07"
="p_cost",="2.43",="0.95"
="p_eligibility",="59.39",="21.03"
="p_part_exp",="63.48",="22.68"
="p_fund_org",="60.14",="35.29"
="p_fund_gov",="13.46",="16.14"
="p_ongoing",="0.50",="0.50"
="p_mandavolunt",="1.55",="0.50"
="p_otjactivities",="1.10",="0.30"
="p_targetemp_c",="0.17",="0.38"
="p_targetemp_emp",="0.64",="0.48"
="Reskilling",="",=""
="p_participated",="3.07",="1.26"
="p_participated_2023",="3.65",="1.34"
="p_duration",="2.37",="0.70"
="p_hourstrained",="3.58",="1.19"
="p_cost",="2.55",="0.92"
="p_eligibility",="61.49",="22.04"
="p_part_exp",="66.49",="23.88"
="p_fund_org",="55.29",="32.90"
="p_fund_gov",="14.26",="13.96"
="p_ongoing",="0.50",="0.50"
="p_mandavolunt",="1.65",="0.48"
="p_otjactivities",="1.08",="0.27"
="p_targetemp_c",="0.23",="0.42"
="p_targetemp_emp",="0.66",="0.47"
="Total",="",=""
="p_participated",="3.07",="1.27"
="p_participated_2023",="3.61",="1.31"
="p_duration",="2.31",="0.70"
="p_hourstrained",="3.41",="1.16"
="p_cost",="2.50",="0.94"
="p_eligibility",="60.99",="21.68"
="p_part_exp",="65.62",="23.34"
="p_fund_org",="57.24",="33.95"
="p_fund_gov",="13.94",="14.88"
="p_ongoing",="0.47",="0.50"
="p_mandavolunt",="1.61",="0.49"
="p_otjactivities",="1.09",="0.28"
="p_targetemp_c",="0.21",="0.41"
="p_targetemp_emp",="0.65",="0.48"
="N",="1209",=""
