="",="(1)",=""
="",="",=""
="",="mean",="sd"
="Cluster 1",="",=""
="p_participated",="3.38",="1.18"
="p_duration",="2.44",="0.66"
="p_hourstrained",="3.87",="1.11"
="p_cost",="2.62",="0.88"
="p_eligibility",="66.23",="19.45"
="p_ongoing",="0.38",="0.49"
="p_targetemp_c",="0.31",="0.46"
="p_targetemp_emp",="0.63",="0.48"
="Cluster 2",="",=""
="p_participated",="2.59",="1.22"
="p_duration",="2.28",="0.76"
="p_hourstrained",="3.15",="1.20"
="p_cost",="2.46",="0.98"
="p_eligibility",="54.78",="23.42"
="p_ongoing",="0.70",="0.46"
="p_targetemp_c",="0.11",="0.31"
="p_targetemp_emp",="0.71",="0.45"
="Total",="",=""
="p_participated",="3.07",="1.26"
="p_duration",="2.37",="0.70"
="p_hourstrained",="3.58",="1.19"
="p_cost",="2.55",="0.92"
="p_eligibility",="61.72",="21.82"
="p_ongoing",="0.51",="0.50"
="p_targetemp_c",="0.23",="0.42"
="p_targetemp_emp",="0.66",="0.47"
="N",="667",=""
