
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="res",="res",="res",="res",="res",="res",="res",="res",="res",="res"

="f_medium",="",="0.237***",="0.249***",="0.248***",="0.244***",="0.233***",="0.187***",="0.187***",="0.192***",="0.192***"
="",="",="(0.036)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.038)",="(0.038)"

="f_large",="",="0.028",="0.039",="0.048",="0.035",="0.021",="0.013",="0.016",="0.023",="0.023"
="",="",="(0.034)",="(0.034)",="(0.035)",="(0.035)",="(0.036)",="(0.035)",="(0.035)",="(0.035)",="(0.035)"

="f_mne",="",="",="",="-0.046",="-0.064*",="-0.061*",="-0.048",="-0.050",="-0.055*",="-0.055*"
="",="",="",="",="(0.032)",="(0.033)",="(0.032)",="(0.031)",="(0.031)",="(0.031)",="(0.031)"

="f_public",="",="",="",="",="0.066**",="0.061**",="0.071**",="0.064**",="0.069**",="0.069**"
="",="",="",="",="",="(0.030)",="(0.030)",="(0.029)",="(0.029)",="(0.029)",="(0.029)"

="f_union50",="",="",="",="",="",="0.132***",="0.104***",="0.106***",="0.100***",="0.100***"
="",="",="",="",="",="",="(0.033)",="(0.033)",="(0.033)",="(0.033)",="(0.033)"

="1.clusplot2",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)"

="2.clusplot2",="",="",="",="",="",="",="0.231***",="0.227***",="0.225***",="0.225***"
="",="",="",="",="",="",="",="(0.041)",="(0.041)",="(0.041)",="(0.041)"

="3.clusplot2",="",="",="",="",="",="",="-0.068",="-0.064",="-0.057",="-0.057"
="",="",="",="",="",="",="",="(0.042)",="(0.042)",="(0.042)",="(0.042)"

="4.clusplot2",="",="",="",="",="",="",="-0.188***",="-0.187***",="-0.173***",="-0.173***"
="",="",="",="",="",="",="",="(0.046)",="(0.046)",="(0.046)",="(0.046)"

="5.clusplot2",="",="",="",="",="",="",="-0.098**",="-0.096**",="-0.060",="-0.060"
="",="",="",="",="",="",="",="(0.042)",="(0.042)",="(0.043)",="(0.043)"

="hr_indexD_total",="",="",="",="",="",="",="",="0.017",="0.018*",="0.018*"
="",="",="",="",="",="",="",="",="(0.011)",="(0.011)",="(0.011)"

="sk_gap_sev",="",="",="",="",="",="",="",="",="0.099***",="0.099***"
="",="",="",="",="",="",="",="",="",="(0.035)",="(0.035)"

="N",="1209",="1209",="1209",="1209",="1209",="1209",="1209",="1209",="1209",="1209"
="Adjusted R-squared",="0.000",="0.037",="0.043",="0.044",="0.047",="0.058",="0.111",="0.112",="0.117",="0.117"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
