="",="(1)",="",=""
="",="",="",=""
="",="count",="mean",="sd"
="sk_gap",="1209",=".7468983",=".4349687"
="sk_gap_severe",="1209",=".2266336",=".4188268"
="sk_gap_overall",="1209",=".9735318",=".6924098"
="sk_miss",="1209",="11.95037",="6.959499"
="sk_n_soft_leader",="903",=".4950166",=".5002522"
="sk_n_soft_adapt",="903",=".4019934",=".4905723"
="sk_n_man_comm",="903",=".3986711",=".4898961"
="sk_n_man_problemsolving",="903",=".4462901",=".4973824"
="sk_n_man_projectman",="903",=".3133998",=".4641324"
="sk_n_f_industry",="903",=".3621262",=".4808814"
="sk_n_f_customer",="903",=".3277962",=".4696703"
="sk_n_f_marketing",="903",=".2624585",=".4402143"
="sk_n_f_finance",="903",=".2159468",=".4117056"
="sk_n_f_hr",="903",=".3488372",=".4768665"
="sk_n_f_supplychain",="903",=".158361",=".3652815"
="sk_n_dig_basic",="903",=".2812846",=".4498752"
="sk_n_dig_advance",="903",=".4994463",=".5002768"
="sk_n_dig_prod",="903",=".2879291",=".4530488"
="sk_n_dig_data",="903",=".4429679",=".497012"
="sk_n_other",="903",=".0110742",=".1047077"
="sk_selected",="1209",="3.923904",="3.358911"
="sk_gap_med",="1209",=".5202647",=".4997959"
="sk_gap_sev",="1209",=".2266336",=".4188268"
="sk_n_soft_leader",="903",=".4950166",=".5002522"
="sk_n_soft_adapt",="903",=".4019934",=".4905723"
="sk_n_man_comm",="903",=".3986711",=".4898961"
="sk_n_man_problemsolving",="903",=".4462901",=".4973824"
="sk_n_man_projectman",="903",=".3133998",=".4641324"
="sk_n_f_industry",="903",=".3621262",=".4808814"
="sk_n_f_customer",="903",=".3277962",=".4696703"
="sk_n_f_marketing",="903",=".2624585",=".4402143"
="sk_n_f_finance",="903",=".2159468",=".4117056"
="sk_n_f_hr",="903",=".3488372",=".4768665"
="sk_n_f_supplychain",="903",=".158361",=".3652815"
="sk_n_dig_basic",="903",=".2812846",=".4498752"
="sk_n_dig_advance",="903",=".4994463",=".5002768"
="sk_n_dig_prod",="903",=".2879291",=".4530488"
="sk_n_dig_data",="903",=".4429679",=".497012"
="sk_n_other",="903",=".0110742",=".1047077"
="tr_sk_n_soft_leader",="1199",=".4470392",=".4973947"
="tr_sk_n_soft_adapt",="1199",=".3302752",=".4705084"
="tr_sk_n_man_comm",="1199",=".4070058",=".491481"
="tr_sk_n_man_problemsolving",="1199",=".4445371",=".4971217"
="tr_sk_n_man_projectman",="1199",=".2802335",=".4493006"
="tr_sk_n_f_industry",="1199",=".2852377",=".451716"
="tr_sk_n_f_customer",="1199",=".3344454",=".4719931"
="tr_sk_n_f_marketing",="1199",=".2543786",=".4356931"
="tr_sk_n_f_finance",="1199",=".2185154",=".4134114"
="tr_sk_n_f_hr",="1199",=".2793995",=".4488914"
="tr_sk_n_f_supplychain",="1199",=".1259383",=".3319182"
="tr_sk_n_dig_basic",="1199",=".3019183",=".4592816"
="tr_sk_n_dig_advance",="1199",=".4028357",=".4906729"
="tr_sk_n_dig_prod",="1199",=".2852377",=".451716"
="tr_sk_n_dig_data",="1199",=".440367",=".4966383"
="tr_sk_n_career",="1199",=".0733945",=".2608918"
="tr_sk_n_other",="1199",=".0025021",=".0499791"
="N",="1209",="",=""
