program,prog_clus2,prog_clus3,prog_clus4
Reskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Upskilling,Basic Programs,Basic,1
Upskilling,Basic Programs,Intermediate,2
Upskilling,Basic Programs,Basic,1
Upskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,1
Upskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,1
Upskilling,Basic Programs,Basic,2
Upskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,2
Upskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Reskilling,Advanced Programs,Advanced,4
Upskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,2
Upskilling,Basic Programs,Basic,1
Upskilling,Basic Programs,Basic,1
Reskilling,Advanced Programs,Intermediate,3
Reskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,2
Reskilling,Advanced Programs,Advanced,3
Reskilling,Basic Programs,Basic,2
Reskilling,Advanced Programs,Intermediate,3
Reskilling,Basic Programs,Basic,2
Reskilling,Advanced Programs,Advanced,1
Reskilling,Basic Programs,Basic,1
Reskilling,Advanced Programs,Advanced,1
Reskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Intermediate,2
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,2
Reskilling,Advanced Programs,Advanced,4
Upskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Reskilling,Advanced Programs,Advanced,4
Reskilling,Basic Programs,Intermediate,2
Upskilling,Basic Programs,Basic,2
Reskilling,Advanced Programs,Intermediate,4
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Upskilling,Basic Programs,Basic,1
Reskilling,Advanced Programs,Intermediate,3
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Intermediate,2
Reskilling,Advanced Programs,Advanced,4
Reskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,1
Reskilling,Advanced Programs,Advanced,1
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,1
Reskilling,Advanced Programs,Intermediate,3
Reskilling,Advanced Programs,Advanced,4
Reskilling,Advanced Programs,Advanced,3
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,1
Upskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,1
Reskilling,Advanced Programs,Intermediate,3
Reskilling,Advanced Programs,Intermediate,3
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Reskilling,Advanced Programs,Intermediate,3
Upskilling,Basic Programs,Intermediate,3
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,1
Reskilling,Advanced Programs,Advanced,3
Reskilling,Advanced Programs,Intermediate,3
Reskilling,Basic Programs,Basic,2
Reskilling,Advanced Programs,Advanced,4
Reskilling,Basic Programs,Basic,1
Upskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Reskilling,Advanced Programs,Advanced,4
Reskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,2
Reskilling,Advanced Programs,Advanced,4
Reskilling,Advanced Programs,Advanced,4
Upskilling,Basic Programs,Basic,2
Reskilling,Basic Programs,Basic,1
Reskilling,Basic Programs,Basic,2
Upskilling,Basic Programs,Basic,1
Reskilling,Advanced Programs,Intermediate,3
