UMAP1,UMAP2,program_type,cluster2,cluster3,cluster4
6.81174,3.0701027,1,1,1,1
7.4877887,3.742227,1,1,1,0
6.4709244,2.2380407,1,1,1,1
8.259099,7.6904993,0,1,1,0
8.059152,5.7602,0,1,2,1
6.3821435,2.1845639,0,1,1,0
5.170812,3.256839,0,1,1,0
7.537586,3.506114,1,1,1,0
7.5078692,3.6734886,0,1,1,0
6.583755,2.1747844,1,1,1,1
5.1360064,4.351158,1,1,1,0
6.42884,4.104419,0,1,1,1
8.041456,7.238502,0,1,1,1
6.457557,2.2648752,1,1,1,1
7.4679546,2.2778006,0,1,1,0
5.9432096,2.6000285,1,1,1,1
5.6225934,5.742575,1,0,0,3
5.8680325,1.8887485,0,1,1,1
6.0928483,1.7715166,1,1,1,1
7.710862,7.3947825,0,1,1,0
8.095956,0.5936151,0,1,1,0
7.6748786,7.8294554,1,0,2,2
6.440816,3.5964262,1,1,1,1
6.038034,2.5850625,1,1,1,1
6.9657493,7.378723,1,0,0,2
5.99714,2.1307151,1,1,1,1
6.2541227,6.655216,1,0,2,2
8.68081,6.000823,1,1,1,1
8.124772,0.56034076,1,0,0,0
6.503568,3.2343774,1,1,1,0
7.250317,2.837243,1,0,0,0
6.6759715,2.5917816,1,1,1,1
8.394907,7.814902,1,1,1,0
8.676869,5.9699435,1,1,1,1
9.261506,6.085075,1,1,2,1
6.930037,5.180231,1,1,1,0
6.947531,2.2496395,1,1,1,1
7.488627,3.9941554,1,1,1,0
7.961703,5.8526983,1,1,1,1
6.9700856,3.1755874,1,1,1,1
4.4747753,6.030846,1,0,0,3
6.326423,4.2406373,0,1,1,0
7.080434,3.5237198,1,1,1,1
5.252741,4.183177,1,0,0,3
6.1085534,4.02836,1,1,2,1
7.3361473,4.9255943,0,1,1,1
5.335512,5.923738,1,0,2,3
6.6546016,2.852803,1,1,1,0
7.9938016,3.7921214,1,1,1,1
6.4189553,5.628759,1,1,1,0
6.0020447,1.8584614,1,1,1,1
7.497397,3.9663336,0,1,1,0
6.372882,5.783743,1,0,2,2
6.923878,3.021174,1,1,1,0
6.2164936,2.8382306,1,1,2,1
5.3966184,4.468549,1,0,0,3
6.798178,3.9377975,1,1,1,1
7.399683,3.3466246,1,1,1,0
8.175279,4.1633816,1,0,0,0
7.9824653,3.8172262,1,1,1,0
5.981881,6.4147778,1,1,1,0
7.056415,7.0836077,1,0,2,2
6.1817374,2.4727962,1,0,0,3
6.981125,6.1899,1,0,0,2
5.9450254,7.1408367,1,1,1,0
8.114254,7.353511,1,1,1,0
5.664973,2.4648738,0,1,1,1
6.8704314,4.6642294,1,1,1,0
6.3618007,4.685721,1,0,2,2
6.5912776,3.867643,1,0,2,2
5.710776,2.9853187,1,1,1,0
8.121792,0.5563136,1,1,1,0
6.4216895,2.691659,1,1,1,0
6.846892,2.308958,1,1,1,1
4.9908333,4.77877,1,0,2,2
6.5702353,2.5768406,0,1,2,2
8.571632,7.4551706,1,1,1,0
7.109367,2.47283,1,1,1,0
8.442377,5.745942,1,1,1,1
7.904247,3.6822455,1,1,1,0
8.598587,7.611118,1,0,0,2
8.97446,7.7524056,1,0,2,2
8.654953,6.779979,1,1,1,1
6.2892666,5.9278736,1,0,0,3
7.3870764,6.8135056,1,1,1,0
7.8436427,3.9575794,0,1,1,0
6.33559,3.2356646,1,1,1,1
5.658825,6.0554714,1,0,0,3
5.689848,3.6354363,1,1,1,1
6.0669785,2.4964828,1,1,1,1
8.107204,3.8008735,1,1,1,1
8.649482,7.1058006,1,0,0,3
8.308963,7.620575,1,0,0,3
6.168625,2.4335344,0,1,1,1
8.051578,7.539868,1,1,1,0
5.935943,2.0676093,1,1,1,1
