variable,tstat,pvalue,mean_c1,sd_c1,zscore_c1,mean_c2,sd_c2,zscore_c2,mean_up,sd_up,mean_re,sd_re,variable_label,significance
p_target_top,-22.273922,0,.24678111,.43160158,-.65798014,.80273139,.39823908,.46527883,.54366815,.4986341,.59220392,.49179372,Program targeted at senior management,***
p_size_coarse1,21.103861,0,.62660944,.48422435,.63342309,.11836115,.32328066,-.44791377,.34716156,.47658825,.31634182,.46539703,Small participation size,***
p_participated_coarse,-19.519974,0,1.5128756,.72797072,-.59828448,2.3399088,.67955422,.42306608,1.9650655,.81216282,2.0194902,.80794352,Participation level (coarse),***
p_part,-18.49704,0,41.944206,23.677063,-.57440639,65.892258,19.615116,.40618113,54.281658,24.182507,57.133434,24.535967,Number of participants,***
p_targetemp_bul,-18.492008,0,.21673819,.41246554,-.57428658,.70713204,.45542404,.40609643,.47816592,.50006926,.52173913,.49990207,Target - Business unit leaders,***
p_participated,-18.401106,0,2.3369098,1.1092041,-.57211876,3.5781486,1.1181872,.40456349,3.0524018,1.2902108,3.071964,1.258333,Number of participants since beginning,***
p_participated_2023,-17.412107,0,2.8948498,1.2126995,-.54805052,4.1168437,1.1204123,.38754407,3.5567687,1.2560785,3.6476762,1.3390664,Participants until end of 2023,***
p_part_exp,-16.479254,0,53.182404,23.671837,-.5245353,74.05159,18.739141,.37091568,63.633186,22.495726,66.625191,23.786219,Expected participation,***
p_target_topmiddle,-15.407101,0,.1695279,.37562075,-.49653247,.58725339,.49270195,.351114,.32969433,.47061613,.47226387,.49960476,Program targeted at senior management and middle managers,***
p_fund_org,15.113489,0,74.265167,32.073914,.50185972,45.537037,30.023718,-.34464133,60.139271,35.265598,55.290077,32.903873,Organization funded,***
p_ongoing,14.608984,0,.74248928,.43773293,.47501221,.33687404,.47300044,-.33589634,.50436682,.50052768,.50524735,.50034767,Ongoing program,***
p_targetfunc_hr,-14.108583,0,.3197425,.46687791,-.4612281,.71168435,.4533228,.32614917,.49344978,.50050378,.58770615,.49261695,Target function - HR,***
p_fund_union,-13.686982,0,5.5617976,10.858586,-.46173665,15.25,11.915694,.31708768,9.6484022,12.484302,12.41374,12.294853,Union funded,***
p_eligibility,-13.305931,1.2801153e-37,51.362659,21.476254,-.43865415,67.393021,18.714834,.31018639,59.349346,20.733492,61.71664,21.820433,Participation eligibility,***
p_size_coarse3,-11.912271,6.7911318e-31,.13948497,.34682423,-.398128,.4582701,.49863404,.28152907,.31222707,.46390864,.33583209,.47263497,Large participation size,***
p_hours_long,-10.524677,9.0508852e-25,.28111589,.45002705,-.35616276,.5842185,.49323058,.25185409,.36026201,.48060131,.52623689,.49968588,Program with many training hours,***
p_effect_reverse,-10.440221,2.0418903e-24,2.3497853,.49942973,-.35355851,2.6585736,.48091078,.25001255,2.4475982,.50650549,2.5877061,.50762826,Program effectiveness,***
p_effectiveness,10.440221,2.0418903e-24,1.6502146,.49942973,.35355851,1.3414264,.48091078,-.25001255,1.5524018,.50650549,1.4122939,.50762826,Subjective program effectiveness,***
p_fund_wrk,-10.315551,7.1840158e-24,7.1999998,14.40558,-.35956684,16.427469,14.613759,.24692476,11.276256,15.129613,13.603053,15.211294,Worker funded,***
p_hourstrained,-10.276005,9.7834648e-24,3.0085838,1.1509376,-.34847876,3.7010622,1.0860467,.2464205,3.1681223,1.0728952,3.5832083,1.1944139,Total training hours per employee,***
p_targetemp_c,-10.273941,9.9766931e-24,.066523604,.24946295,-.34841481,.3080425,.46203491,.24637528,.17030568,.37631217,.23388305,.42361635,Target - C-suite executives,***
p_year_end,10.089652,5.6503122e-23,5.5021458,.95545727,.34268892,4.8786039,1.0649774,-.2423263,5.037118,1.1632304,5.2053971,.98856872,Program end year,***
p_target_topbottom,-10.022602,1.0551410e-22,.13519314,.34229723,-.34059918,.39908952,.49008319,.24084857,.23580787,.42496687,.32683659,.46940896,Program targeted at senior management and employees,***
p_target_all,-9.8219147,6.7035693e-22,.11802575,.32298535,-.33432376,.37025797,.48324049,.23641104,.20960699,.40747321,.30434781,.46047598,Program targeted at all levels,***
p_targetfunc_it,-8.948926,1.4520441e-18,.33905581,.47389755,-.30667594,.60091048,.49008319,.21686038,.38864627,.48797569,.56371814,.49629554,Target function - IT,***
p_fund_gov,-8.9400988,1.6266732e-18,9.2764044,14.978889,-.31512761,17.185184,13.934921,.21640708,13.518265,16.158777,14.264122,13.962997,Government funded,***
p_criteria_managerrec,8.9393682,6.4377370e-18,.47457626,.50041455,.40570217,.14429531,.35197997,-.32129434,.26368159,.44172886,.3063063,.46165222,Criteria - Manager recommendation,***
p_target_emp,8.1809826,7.5618258e-16,.78755367,.40947857,.28190431,.55842185,.49695235,-.19934356,.63755459,.48123214,.66416794,.47263497,Program targeted at employees,***
p_targetemp_emp,8.1809826,7.5618258e-16,.78755367,.40947857,.28190431,.55842185,.49695235,-.19934356,.63755459,.48123214,.66416794,.47263497,Target - Employees,***
p_cost,-8.1577816,9.0668016e-16,2.2381973,.96448779,-.28114963,2.6889226,.87452042,.19880989,2.4257641,.95635152,2.5547225,.92411196,Estimated cost per person,***
p_adequatefund,6.9055209,8.3542418e-12,2.0257511,.38713446,.23990144,1.8573596,.41365707,-.16964199,1.9475982,.37638834,1.9130435,.43315402,Was the program adequately funded?,***
p_size_coarse2,-6.7102284,3.0754017e-11,.23390558,.42376778,-.23338206,.42336875,.49446806,.16503192,.34061137,.47443303,.34782609,.47663793,Medium participation size,***
p_targetfunc_op,6.4917417,1.2708595e-10,.60729611,.4888767,.22606239,.41426402,.49296868,-.15985596,.5371179,.49916559,.46476761,.49913144,Target function - Operations/Manufacturing,***
p_cha_takeup,6.0658317,1.7914106e-09,.64163089,.48003665,.21171737,.46130502,.4988791,-.14971213,.47379914,.49985904,.57871062,.49413633,Challenge - Program participation,***
p_difloc,5.7707014,1.0202802e-08,1.4227468,.49452677,.20172039,1.2610015,.43951434,-.14264295,1.2860262,.45239592,1.3568215,.47942105,Program implemented in different locations,***
p_responsibility,5.6869545,1.6481469e-08,3.332618,1.1689938,.19887547,2.9620638,1.0060996,-.14063121,3.161572,1.1324183,3.0839579,1.062109,Main person responsible for implementing the program,***
p_program_length,5.6279516,2.3020002e-08,1.9935622,1.194054,.196869,1.6100152,1.0752634,-.13921238,1.7969432,1.0891505,1.7496252,1.17608,Program length (years),***
p_responsibility_hier,5.5797272,3.0179159e-08,2.1630902,.72971517,.19522777,1.9180577,.72259992,-.13805181,2.0611353,.77472126,1.9910045,.70598686,Who has the primary responsibility to implement the program?,***
p_targetfunc_rd,-5.1275935,3.4540065e-07,.079399139,.27065128,-.17978564,.18664643,.38992339,.12713218,.1069869,.30943459,.16641679,.37273386,Target function - Research/Development,***
p_year_end_clone2,5.0775838,4.4721600e-07,2022.7596,.60300601,.17807172,2022.5417,.77538347,-.12592022,2022.5327,.79386151,2022.7002,.65074456,Program End Year (Clone),***
p_adv_hr,-5.0475206,5.2178564e-07,.42703864,.49517959,-.17704086,.57814872,.49423015,.12519126,.44323143,.4973101,.56521738,.49610049,Advocate - HR,***
p_targetfunc_leg,-4.8137579,1.6833795e-06,.060085837,.2379012,-.16901138,.15174507,.35904613,.11951336,.091703057,.28892189,.12893553,.33538008,Target function - Legal,***
p_challenge_convmanager,-4.8023405,1.7802379e-06,.24463519,.43033266,-.16861859,.37936267,.48559701,.11923561,.31659389,.46565613,.32833582,.46996015,Challenge - Convincing managers to allow their employees to participate,***
p_challenge_newjob,-4.781816,2.1405406e-06,.19599999,.39776483,-.23529528,.36930457,.48319623,.14106432,,,.30434781,.46047598,Challenge - Finding new job,***
p_targetfunc_accfin,-4.6639481,3.4745719e-06,.2360515,.42511058,-.16385306,.36570561,.48199332,.11586574,.21834061,.41357157,.37631184,.48482332,Target function - Accounting/Finance,***
p_resp_top,-4.440711,9.8510782e-06,.17167382,.37750196,-.15614901,.28528073,.45189103,.11041797,.24235807,.42897835,.2353823,.4245559,Responsibility - Senior management,***
p_adv_resp_match,-4.3846879,.000012705116,.56223178,.49664527,-.15421243,.68892258,.46328604,.10904855,.63537121,.48185226,.6371814,.48117396,Match between advocate and responsible person,***
p_challenge_learning,4.2799926,.000020283796,.54721028,.49830115,.15059005,.41881639,.49373996,-.10648704,.44104803,.49705544,.49325338,.50032967,Challenge - Ensuring that participants learned new skills,***
p_challenge_selecting,4.2765732,.00002059261,.43133047,.4957943,.15047167,.3080425,.46203491,-.10640334,.30786026,.46211317,.39430285,.4890672,Challenge - Selecting the right participants,***
p_mandavolunt,4.1527677,.000035335652,1.6802576,.46687791,.1461824,1.5584219,.49695235,-.10337026,1.5458515,.49843764,1.6521739,.47663793,Mandatory or voluntary program,***
p_cont_investment,-4.01264,.00006402078,3.7918456,1.0336375,-.14132066,4.0288315,.93273157,.099932365,3.7751091,1.0225427,4.0374813,.93966877,Continued Investment,***
